Date,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Bonus
27/01/2016,1,2,4,28,29,36,13
23/01/2016,1,3,6,10,21,42,27
20/01/2016,22,29,30,32,34,38,42
16/01/2016,18,25,26,30,33,38,42
13/01/2016,12,21,26,28,40,42,10
09/01/2016,1,2,5,8,15,16,13
06/01/2016,8,10,23,25,27,36,40
02/01/2016,3,14,16,17,30,36,33
30/12/2015,3,9,16,18,22,32,28
26/12/2015,6,10,33,34,36,40,1
23/12/2015,1,11,19,21,25,26,12
19/12/2015,2,8,15,28,30,32,35
16/12/2015,9,17,21,22,34,36,26
12/12/2015,1,8,16,20,31,33,30
09/12/2015,2,3,34,42,43,44,36
05/12/2015,5,10,28,31,39,44,12
02/12/2015,10,16,24,25,28,39,21
28/11/2015,13,15,16,21,24,34,19
25/11/2015,7,8,17,28,31,44,6
21/11/2015,9,14,15,18,31,41,22
18/11/2015,2,16,35,37,41,45,23
14/11/2015,6,9,16,19,31,40,26
11/11/2015,2,4,9,11,13,31,12
07/11/2015,19,25,26,35,40,42,33
04/11/2015,9,15,16,35,41,44,1
31/10/2015,7,16,20,36,42,45,2
28/10/2015,7,26,29,35,36,43,24
24/10/2015,13,16,17,29,41,44,2
21/10/2015,5,7,13,25,26,44,27
17/10/2015,12,21,26,28,32,44,2
14/10/2015,10,20,22,26,40,44,11
10/10/2015,13,18,19,20,22,23,14
07/10/2015,9,15,17,19,22,43,38
03/10/2015,10,19,28,29,37,45,18
30/09/2015,2,8,12,13,22,35,4
26/09/2015,3,23,24,26,38,39,12
23/09/2015,3,14,19,20,33,43,8
19/09/2015,2,3,8,35,36,43,41
16/09/2015,2,8,25,29,37,43,34
12/09/2015,3,24,27,29,38,44,33
09/09/2015,5,20,23,32,33,40,37
05/09/2015,11,17,22,26,33,36,45
02/09/2015,1,6,31,32,39,44,25
29/08/2015,4,22,27,31,36,43,35
26/08/2015,3,6,18,22,35,44,1
22/08/2015,11,13,24,28,32,33,7
19/08/2015,17,22,27,29,42,44,30
15/08/2015,8,9,16,23,29,44,40
12/08/2015,13,19,20,33,37,40,35
08/08/2015,18,21,29,31,34,44,15
05/08/2015,14,15,20,31,32,41,42
01/08/2015,6,32,33,40,41,43,31
29/07/2015,11,17,18,31,43,44,3
25/07/2015,1,9,10,22,24,34,18
22/07/2015,6,8,9,35,37,38,20
18/07/2015,14,18,21,36,40,43,15
15/07/2015,11,16,17,32,34,38,44
11/07/2015,1,5,14,22,23,24,2
08/07/2015,5,19,21,22,32,45,10
04/07/2015,12,17,20,22,32,44,18
01/07/2015,9,27,32,38,42,44,6
27/06/2015,4,12,16,26,42,45,11
24/06/2015,6,7,8,16,39,42,26
20/06/2015,5,6,13,18,27,28,42
17/06/2015,1,21,23,29,33,45,44
13/06/2015,20,21,34,39,41,44,19
10/06/2015,2,8,26,30,33,41,27
06/06/2015,15,21,26,27,32,41,6
03/06/2015,12,23,28,29,34,38,24
30/05/2015,1,8,22,23,33,42,35
27/05/2015,19,20,32,37,42,43,17
23/05/2015,2,7,14,23,33,36,21
20/05/2015,7,8,15,27,28,37,21
16/05/2015,4,14,20,38,44,45,22
13/05/2015,10,15,21,26,32,40,33
09/05/2015,5,18,19,22,27,30,3
06/05/2015,9,20,25,29,30,38,43
02/05/2015,1,9,31,36,41,45,24
29/04/2015,1,2,28,29,31,39,10
25/04/2015,2,4,16,18,40,45,20
22/04/2015,3,11,19,20,31,44,14
18/04/2015,24,26,30,33,37,38,17
15/04/2015,6,7,11,21,27,35,14
11/04/2015,1,7,29,34,40,44,15
08/04/2015,5,9,11,34,41,43,29
04/04/2015,17,33,37,39,40,43,9
01/04/2015,1,8,23,25,36,38,5
28/03/2015,1,3,8,12,28,43,41
25/03/2015,11,15,21,30,33,40,10
21/03/2015,13,16,21,27,32,38,44
18/03/2015,8,15,23,28,31,36,3
14/03/2015,2,4,5,11,21,36,19
11/03/2015,2,6,20,21,24,28,13
07/03/2015,19,20,29,30,34,36,17
04/03/2015,15,17,23,25,28,29,45
28/02/2015,22,26,28,31,32,35,19
25/02/2015,6,11,14,25,29,38,23
21/02/2015,12,13,16,30,39,41,2
18/02/2015,8,14,27,34,39,42,18
14/02/2015,27,28,32,34,40,44,13
11/02/2015,5,16,18,20,26,40,14
07/02/2015,6,9,18,26,33,38,5
04/02/2015,9,17,30,33,39,42,27
31/01/2015,3,17,18,27,28,36,35
28/01/2015,10,13,22,34,37,39,12
24/01/2015,4,8,12,18,20,22,15
21/01/2015,6,8,16,36,37,44,31
17/01/2015,13,24,25,26,28,44,18
14/01/2015,4,6,20,23,28,34,42
10/01/2015,9,16,19,21,25,45,8
07/01/2015,2,8,19,38,39,43,1
03/01/2015,6,9,13,20,37,43,35
31/12/2014,1,7,14,18,38,40,33
27/12/2014,2,5,9,26,31,36,45
24/12/2014,5,14,15,27,30,41,35
20/12/2014,7,10,11,18,24,39,1
17/12/2014,3,6,10,26,31,32,16
13/12/2014,16,21,25,32,36,45,42
10/12/2014,17,27,29,36,39,40,13
06/12/2014,1,9,18,20,28,30,15
03/12/2014,2,6,8,9,28,39,25
29/11/2014,11,22,28,29,42,43,38
26/11/2014,12,23,24,27,30,32,31
22/11/2014,4,10,11,19,27,37,7
19/11/2014,1,12,21,28,36,43,2
15/11/2014,5,17,19,29,35,41,33
12/11/2014,10,16,21,27,42,45,12
08/11/2014,6,11,14,15,22,43,7
05/11/2014,6,9,12,19,30,36,14
01/11/2014,12,24,26,27,28,43,34
29/10/2014,9,10,13,16,38,45,24
25/10/2014,10,20,23,30,36,44,1
22/10/2014,7,11,14,16,31,38,26
18/10/2014,7,11,15,16,20,24,28
15/10/2014,7,9,12,13,28,29,8
11/10/2014,14,20,35,38,39,41,7
08/10/2014,1,16,27,32,33,44,39
04/10/2014,5,7,18,26,37,44,42
01/10/2014,12,24,30,38,40,41,18
27/09/2014,14,18,22,29,35,37,42
24/09/2014,3,19,20,25,28,30,31
20/09/2014,7,8,17,18,33,45,39
17/09/2014,4,16,24,31,42,44,23
13/09/2014,7,10,26,30,39,45,36
10/09/2014,1,17,19,24,40,44,9
06/09/2014,1,4,17,20,22,28,37
03/09/2014,1,5,10,17,25,31,15
30/08/2014,9,10,13,16,18,43,31
27/08/2014,2,14,15,25,31,40,13
23/08/2014,4,7,10,19,31,38,28
20/08/2014,2,6,7,13,25,41,24
16/08/2014,13,18,28,29,35,36,21
13/08/2014,2,10,12,22,24,31,26
09/08/2014,4,7,15,21,29,34,8
06/08/2014,3,20,24,31,32,38,12
02/08/2014,16,18,25,35,44,45,6
30/07/2014,5,9,12,19,42,45,7
26/07/2014,17,18,19,25,33,40,5
23/07/2014,13,27,32,37,42,44,10
19/07/2014,30,37,38,40,41,45,13
16/07/2014,6,12,18,20,28,40,7
12/07/2014,3,20,22,32,35,36,1
09/07/2014,5,10,14,16,29,41,42
05/07/2014,13,17,19,25,38,45,43
02/07/2014,9,10,12,15,33,42,24
28/06/2014,11,16,20,23,25,30,35
25/06/2014,3,6,8,17,20,37,4
21/06/2014,4,19,24,32,35,38,20
18/06/2014,5,24,29,33,39,40,45
14/06/2014,14,22,27,37,39,40,41
11/06/2014,10,17,18,26,36,43,7
07/06/2014,1,10,24,33,37,38,29
04/06/2014,13,16,24,25,38,43,23
31/05/2014,4,7,39,41,42,45,30
28/05/2014,16,17,36,40,41,42,2
24/05/2014,2,4,16,39,43,45,34
21/05/2014,2,8,9,19,30,43,40
17/05/2014,4,5,15,27,30,38,14
14/05/2014,2,6,11,15,18,20,1
10/05/2014,7,11,12,14,20,31,4
07/05/2014,5,20,22,30,31,41,35
03/05/2014,14,15,18,20,27,29,9
30/04/2014,1,9,16,17,32,33,2
26/04/2014,3,12,24,32,35,42,17
23/04/2014,7,16,22,23,25,32,14
19/04/2014,5,30,35,39,41,44,26
16/04/2014,3,11,20,26,38,43,30
12/04/2014,1,2,3,7,9,29,12
09/04/2014,1,6,11,20,41,42,19
05/04/2014,2,12,16,30,41,44,38
02/04/2014,2,5,9,20,21,25,8
29/03/2014,8,13,22,33,34,39,2
26/03/2014,7,8,14,26,28,45,25
22/03/2014,2,7,13,16,25,26,19
19/03/2014,3,5,15,26,38,43,13
15/03/2014,1,9,19,27,30,42,8
12/03/2014,1,5,8,17,25,37,40
08/03/2014,14,16,19,21,23,37,34
05/03/2014,11,12,26,33,36,39,27
01/03/2014,3,17,28,29,34,40,33
26/02/2014,9,10,34,35,36,38,40
22/02/2014,2,6,11,14,18,23,25
19/02/2014,19,23,26,31,41,42,21
15/02/2014,3,4,21,25,26,41,7
12/02/2014,1,18,28,29,33,45,17
08/02/2014,7,21,25,26,27,36,14
05/02/2014,4,15,23,31,32,39,18
01/02/2014,10,12,17,20,41,45,36
29/01/2014,10,11,16,21,32,43,26
25/01/2014,13,15,16,23,28,33,35
22/01/2014,4,9,27,34,37,38,11
18/01/2014,5,21,24,37,39,41,30
15/01/2014,6,9,12,20,34,44,33
11/01/2014,1,5,7,28,36,45,27
08/01/2014,4,9,11,17,39,42,20
04/01/2014,5,6,21,22,23,37,15
01/01/2014,2,7,9,29,35,36,17
28/12/2013,7,25,31,35,36,44,40
25/12/2013,12,16,24,28,34,45,5
21/12/2013,21,22,23,24,25,38,19
18/12/2013,1,19,28,34,35,45,9
14/12/2013,10,13,19,28,38,43,7
11/12/2013,5,13,28,35,36,44,30
07/12/2013,13,16,20,21,25,40,41
04/12/2013,8,14,23,24,28,31,35
30/11/2013,15,17,20,27,38,40,24
27/11/2013,6,8,16,30,36,37,3
23/11/2013,20,28,36,38,40,45,15
20/11/2013,3,9,12,25,26,35,43
16/11/2013,6,9,14,34,38,43,5
13/11/2013,8,15,27,28,41,43,20
09/11/2013,8,17,21,25,26,41,27
06/11/2013,1,2,15,35,38,42,31
02/11/2013,3,17,27,33,38,45,32
30/10/2013,4,16,19,24,35,41,18
26/10/2013,16,18,25,29,35,45,5
23/10/2013,3,7,14,17,25,43,12
19/10/2013,1,18,21,24,26,32,45
16/10/2013,3,10,17,24,26,38,5
12/10/2013,2,11,19,21,31,40,37
09/10/2013,2,3,10,13,29,34,25
05/10/2013,1,7,15,24,32,33,38
02/10/2013,13,18,19,33,40,42,45
28/09/2013,15,25,29,36,41,44,37
25/09/2013,3,5,6,16,28,39,40
21/09/2013,2,4,6,11,39,42,37
18/09/2013,5,9,17,22,25,40,8
14/09/2013,9,12,15,27,30,32,8
11/09/2013,5,8,20,33,38,42,27
07/09/2013,1,3,15,20,25,36,17
04/09/2013,13,20,22,35,37,42,40
31/08/2013,20,21,22,27,33,36,11
28/08/2013,10,20,26,30,41,42,19
24/08/2013,3,10,14,28,37,45,34
21/08/2013,11,25,30,34,38,43,21
17/08/2013,2,5,8,26,28,34,3
14/08/2013,9,13,24,32,34,35,26
10/08/2013,3,8,9,18,30,36,14
07/08/2013,7,11,21,28,32,38,6
03/08/2013,14,16,23,27,28,41,35
31/07/2013,5,8,15,35,38,44,3
27/07/2013,5,13,22,26,39,42,40
24/07/2013,5,9,19,20,37,42,29
20/07/2013,3,20,22,31,40,44,23
17/07/2013,22,26,29,35,42,43,2
13/07/2013,6,8,13,15,27,40,5
10/07/2013,8,12,16,28,41,43,38
06/07/2013,2,12,22,29,31,34,4
03/07/2013,10,17,19,35,38,43,21
29/06/2013,3,7,13,18,41,44,20
26/06/2013,1,10,11,14,37,41,21
22/06/2013,1,16,19,21,30,40,24
19/06/2013,1,11,15,17,20,28,27
15/06/2013,4,8,12,38,40,45,11
12/06/2013,11,22,24,39,40,43,25
08/06/2013,8,10,16,22,23,34,19
05/06/2013,6,17,21,27,38,42,26
01/06/2013,6,9,22,36,40,43,24
29/05/2013,7,26,33,39,41,44,18
25/05/2013,2,8,19,28,36,39,14
22/05/2013,3,9,25,37,41,45,38
18/05/2013,12,15,20,28,33,43,18
15/05/2013,13,19,26,27,31,35,2
11/05/2013,2,7,14,33,43,44,27
08/05/2013,4,5,14,28,43,45,40
04/05/2013,11,25,27,36,40,42,28
01/05/2013,1,13,26,28,36,40,29
27/04/2013,17,27,28,31,43,45,34
24/04/2013,21,23,25,36,38,45,14
20/04/2013,3,5,15,28,43,45,38
17/04/2013,3,12,14,35,41,42,21
13/04/2013,13,21,24,34,35,39,2
10/04/2013,5,13,14,19,26,37,40
06/04/2013,1,10,18,21,31,37,11
03/04/2013,2,11,13,16,26,42,17
30/03/2013,3,9,15,27,33,41,20
27/03/2013,1,9,13,14,20,37,28
23/03/2013,6,15,19,23,24,39,1
20/03/2013,17,18,20,22,23,35,44
16/03/2013,3,4,15,30,33,41,27
13/03/2013,14,20,21,24,27,35,7
09/03/2013,25,37,39,40,41,42,22
06/03/2013,8,10,12,23,39,44,29
02/03/2013,1,12,21,22,35,39,18
27/02/2013,18,24,26,29,36,37,43
23/02/2013,1,19,26,38,42,45,5
20/02/2013,1,4,14,19,31,40,15
16/02/2013,10,20,23,38,43,44,12
13/02/2013,12,26,31,34,43,45,8
09/02/2013,24,29,32,33,36,37,38
06/02/2013,2,18,21,35,36,38,24
02/02/2013,3,4,7,22,29,35,40
30/01/2013,15,19,21,33,36,40,18
26/01/2013,16,20,32,34,36,38,5
23/01/2013,15,29,34,35,37,42,30
19/01/2013,4,7,16,21,23,31,1
16/01/2013,4,12,14,34,43,45,31
12/01/2013,8,20,24,32,34,40,45
09/01/2013,11,12,15,28,33,41,18
05/01/2013,2,14,16,28,32,45,27
02/01/2013,6,17,19,25,26,36,8
29/12/2012,3,18,23,27,33,44,15
26/12/2012,2,18,19,21,22,33,9
22/12/2012,1,2,9,37,40,41,8
19/12/2012,11,15,16,23,29,37,5
15/12/2012,13,16,18,22,29,39,12
12/12/2012,1,10,23,33,43,45,32
08/12/2012,1,2,3,22,25,43,4
05/12/2012,10,15,16,17,32,45,41
01/12/2012,2,5,10,21,38,40,13
28/11/2012,14,18,25,27,28,32,21
24/11/2012,5,10,18,32,34,36,20
21/11/2012,1,25,32,38,40,42,45
17/11/2012,7,10,20,27,31,36,39
14/11/2012,24,26,29,31,32,41,10
10/11/2012,9,21,22,27,29,40,1
07/11/2012,18,21,24,28,40,43,41
03/11/2012,2,10,17,26,39,42,12
31/10/2012,10,14,24,28,35,36,6
27/10/2012,4,8,9,12,14,31,11
24/10/2012,4,26,30,31,37,41,21
20/10/2012,1,8,20,30,32,39,35
17/10/2012,12,16,20,28,33,45,35
13/10/2012,1,7,13,21,31,44,12
10/10/2012,15,16,21,36,44,45,27
06/10/2012,17,20,22,24,27,44,38
03/10/2012,3,12,17,29,31,39,21
29/09/2012,1,4,8,26,36,39,2
26/09/2012,1,10,11,14,24,27,18
22/09/2012,21,26,28,37,41,43,10
19/09/2012,5,19,21,28,32,36,11
15/09/2012,2,7,8,10,17,23,15
12/09/2012,4,7,18,21,38,44,39
08/09/2012,24,26,39,42,43,44,22
05/09/2012,9,16,18,27,36,39,41
01/09/2012,2,4,14,26,29,39,34
29/08/2012,4,6,16,26,30,40,44
25/08/2012,3,12,20,25,32,36,33
22/08/2012,2,19,20,36,41,44,9
18/08/2012,7,28,32,36,43,45,3
15/08/2012,12,19,20,38,40,42,15
11/08/2012,1,6,7,15,41,43,34
08/08/2012,8,13,17,37,38,43,18
04/08/2012,6,15,24,32,40,42,19
01/08/2012,10,15,19,36,40,43,23
28/07/2012,1,14,16,19,37,38,7
25/07/2012,16,25,28,30,37,38,12
21/07/2012,2,13,18,21,23,40,4
18/07/2012,14,15,17,24,36,38,30
14/07/2012,14,24,34,36,38,44,3
11/07/2012,8,9,31,33,39,43,30
07/07/2012,5,26,32,36,37,42,2
04/07/2012,3,5,7,10,31,43,19
30/06/2012,2,6,8,9,26,34,45
27/06/2012,1,4,6,14,23,34,16
23/06/2012,5,14,22,31,41,42,32
20/06/2012,11,23,27,38,40,42,44
16/06/2012,8,13,15,26,42,43,18
13/06/2012,1,4,9,34,38,41,37
09/06/2012,10,14,17,19,20,23,27
06/06/2012,7,15,16,25,33,43,19
02/06/2012,7,22,25,41,42,44,30
30/05/2012,13,14,17,20,28,35,24
26/05/2012,4,11,15,17,40,43,42
23/05/2012,11,14,21,29,30,40,28
19/05/2012,7,14,20,21,27,36,39
16/05/2012,19,30,31,36,38,40,7
12/05/2012,15,20,28,34,41,42,25
09/05/2012,8,15,16,17,25,45,6
05/05/2012,27,30,32,37,42,45,12
02/05/2012,14,23,24,29,39,41,25
28/04/2012,4,13,20,37,43,45,27
25/04/2012,6,9,27,28,40,43,3
21/04/2012,3,9,11,24,30,41,13
18/04/2012,8,13,19,21,33,36,34
14/04/2012,4,11,14,17,32,44,30
11/04/2012,3,5,9,15,18,28,11
07/04/2012,1,7,10,19,24,43,20
04/04/2012,5,13,16,22,25,39,9
31/03/2012,5,7,28,29,41,42,15
28/03/2012,11,13,29,35,38,42,8
24/03/2012,3,4,12,13,18,24,21
21/03/2012,6,20,27,28,37,38,2
17/03/2012,11,18,27,28,31,36,22
14/03/2012,8,13,19,33,38,43,4
10/03/2012,5,11,18,21,22,42,41
07/03/2012,24,27,31,33,42,45,14
03/03/2012,14,18,23,26,35,44,31
29/02/2012,5,15,21,23,25,31,34
25/02/2012,4,8,13,21,30,34,15
22/02/2012,8,13,18,23,27,33,12
18/02/2012,4,9,11,20,29,32,22
15/02/2012,2,7,11,12,22,38,45
11/02/2012,3,6,13,22,35,43,42
08/02/2012,15,35,37,39,41,45,33
04/02/2012,5,18,30,35,42,44,7
01/02/2012,2,6,7,20,31,39,19
28/01/2012,5,8,22,34,35,36,23
25/01/2012,4,8,19,23,27,33,36
21/01/2012,11,20,25,30,35,42,29
18/01/2012,5,6,21,28,29,42,33
14/01/2012,1,7,9,20,24,36,42
11/01/2012,5,12,17,32,39,43,7
07/01/2012,6,18,20,25,35,45,41
04/01/2012,2,10,26,27,36,42,25
